20:02:26.181 INFO: Enqueued TG batch with 4 reqs | Pending: 0 reqs | Input Tokens: 4/8192 toks | Batch creation: 975.65us | Completed TG batch with 4 reqs | Terminated: 0 reqs | Completed Input Tokens: 4 toks | Prompt Tput: 83.0 tok/s, Generation Tput: 83.0 tok/s | Execution: 48.19ms | KVCache usage: 1.2% of 582 blocks | All Preemptions: 0 reqs
20:02:59.458 INFO: Enqueued TG batch with 4 reqs | Pending: 0 reqs | Input Tokens: 4/8192 toks | Batch creation: 266.80us | Completed TG batch with 4 reqs | Terminated: 0 reqs | Completed Input Tokens: 4 toks | Prompt Tput: 105.5 tok/s, Generation Tput: 105.5 tok/s | Execution: 37.91ms | KVCache usage: 0.9% of 582 blocks | All Preemptions: 0 reqs
20:03:02.458 INFO: Enqueued TG batch with 5 reqs | Pending: 0 reqs | Input Tokens: 5/8192 toks | Batch creation: 260.46us | Completed TG batch with 5 reqs | Terminated: 0 reqs | Completed Input Tokens: 5 toks | Prompt Tput: 131.3 tok/s, Generation Tput: 131.3 tok/s | Execution: 38.09ms | KVCache usage: 1.4% of 582 blocks | All Preemptions: 0 reqs
20:03:05.493 INFO: Enqueued TG batch with 4 reqs | Pending: 0 reqs | Input Tokens: 4/8192 toks | Batch creation: 252.09us | Completed TG batch with 4 reqs | Terminated: 0 reqs | Completed Input Tokens: 4 toks | Prompt Tput: 105.9 tok/s, Generation Tput: 105.9 tok/s | Execution: 37.77ms | KVCache usage: 0.9% of 582 blocks | All Preemptions: 0 reqs
20:03:08.530 INFO: Enqueued TG batch with 5 reqs | Pending: 0 reqs | Input Tokens: 5/8192 toks | Batch creation: 211.22us | Completed TG batch with 5 reqs | Terminated: 0 reqs | Completed Input Tokens: 5 toks | Prompt Tput: 131.4 tok/s, Generation Tput: 131.4 tok/s | Execution: 38.05ms | KVCache usage: 1.4% of 582 blocks | All Preemptions: 0 reqs
20:03:11.534 INFO: Enqueued TG batch with 6 reqs | Pending: 0 reqs | Input Tokens: 6/8192 toks | Batch creation: 262.46us | Completed TG batch with 6 reqs | Terminated: 0 reqs | Completed Input Tokens: 6 toks | Prompt Tput: 157.2 tok/s, Generation Tput: 157.2 tok/s | Execution: 38.16ms | KVCache usage: 1.4% of 582 blocks | All Preemptions: 0 reqs
20:03:14.543 INFO: Enqueued TG batch with 6 reqs | Pending: 0 reqs | Input Tokens: 6/8192 toks | Batch creation: 204.33us | Completed TG batch with 6 reqs | Terminated: 0 reqs | Completed Input Tokens: 6 toks | Prompt Tput: 158.0 tok/s, Generation Tput: 158.0 tok/s | Execution: 37.97ms | KVCache usage: 1.4% of 582 blocks | All Preemptions: 0 reqs
20:03:17.547 INFO: Enqueued TG batch with 6 reqs | Pending: 0 reqs | Input Tokens: 6/8192 toks | Batch creation: 260.41us | Completed TG batch with 6 reqs | Terminated: 0 reqs | Completed Input Tokens: 6 toks | Prompt Tput: 157.3 tok/s, Generation Tput: 157.3 tok/s | Execution: 38.15ms | KVCache usage: 1.4% of 582 blocks | All Preemptions: 0 reqs
20:03:20.555 INFO: Enqueued CE batch with 1 reqs | Pending: 0 reqs | Input Tokens: 21/8192 toks | Batch creation: 567.79us | Completed TG batch with 5 reqs | Terminated: 0 reqs | Completed Input Tokens: 5 toks | Prompt Tput: 131.6 tok/s, Generation Tput: 131.6 tok/s | Execution: 37.98ms | KVCache usage: 1.5% of 582 blocks, Cache hit rate: 0.0% (0 hit, 21 miss) | All Preemptions: 0 reqs
20:03:23.566 INFO: Enqueued TG batch with 5 reqs | Pending: 0 reqs | Input Tokens: 5/8192 toks | Batch creation: 267.29us | Completed TG batch with 5 reqs | Terminated: 0 reqs | Completed Input Tokens: 5 toks | Prompt Tput: 130.9 tok/s, Generation Tput: 130.9 tok/s | Execution: 38.20ms | KVCache usage: 1.5% of 582 blocks | All Preemptions: 0 reqs
20:03:26.570 INFO: Enqueued TG batch with 6 reqs | Pending: 0 reqs | Input Tokens: 6/8192 toks | Batch creation: 252.39us | Completed TG batch with 6 reqs | Terminated: 0 reqs | Completed Input Tokens: 6 toks | Prompt Tput: 157.3 tok/s, Generation Tput: 157.3 tok/s | Execution: 38.14ms | KVCache usage: 1.5% of 582 blocks | All Preemptions: 0 reqs
20:03:29.586 INFO: Enqueued TG batch with 6 reqs | Pending: 0 reqs | Input Tokens: 6/8192 toks | Batch creation: 274.12us | Completed TG batch with 6 reqs | Terminated: 1 reqs | Completed Input Tokens: 6 toks | Prompt Tput: 156.7 tok/s, Generation Tput: 156.7 tok/s | Execution: 38.28ms | KVCache usage: 1.4% of 582 blocks | All Preemptions: 0 reqs
20:03:32.600 INFO: Enqueued TG batch with 7 reqs | Pending: 0 reqs | Input Tokens: 7/8192 toks | Batch creation: 284.19us | Completed TG batch with 7 reqs | Terminated: 0 reqs | Completed Input Tokens: 7 toks | Prompt Tput: 183.4 tok/s, Generation Tput: 183.4 tok/s | Execution: 38.17ms | KVCache usage: 1.5% of 582 blocks | All Preemptions: 0 reqs
20:03:35.613 INFO: Enqueued TG batch with 7 reqs | Pending: 0 reqs | Input Tokens: 7/8192 toks | Batch creation: 243.70us | Completed TG batch with 7 reqs | Terminated: 0 reqs | Completed Input Tokens: 7 toks | Prompt Tput: 184.1 tok/s, Generation Tput: 184.1 tok/s | Execution: 38.02ms | KVCache usage: 1.4% of 582 blocks | All Preemptions: 0 reqs
20:03:38.626 INFO: Enqueued TG batch with 5 reqs | Pending: 0 reqs | Input Tokens: 5/8192 toks | Batch creation: 263.37us | Completed TG batch with 5 reqs | Terminated: 0 reqs | Completed Input Tokens: 5 toks | Prompt Tput: 131.5 tok/s, Generation Tput: 131.5 tok/s | Execution: 38.01ms | KVCache usage: 1.2% of 582 blocks | All Preemptions: 0 reqs
20:03:41.636 INFO: Enqueued TG batch with 7 reqs | Pending: 0 reqs | Input Tokens: 7/8192 toks | Batch creation: 264.99us | Completed TG batch with 7 reqs | Terminated: 0 reqs | Completed Input Tokens: 7 toks | Prompt Tput: 182.8 tok/s, Generation Tput: 182.8 tok/s | Execution: 38.29ms | KVCache usage: 1.7% of 582 blocks | All Preemptions: 0 reqs
20:03:44.647 INFO: Enqueued TG batch with 5 reqs | Pending: 0 reqs | Input Tokens: 5/8192 toks | Batch creation: 222.09us | Completed TG batch with 6 reqs | Terminated: 0 reqs | Completed Input Tokens: 6 toks | Prompt Tput: 157.6 tok/s, Generation Tput: 157.6 tok/s | Execution: 38.06ms | KVCache usage: 1.0% of 582 blocks | All Preemptions: 0 reqs
20:03:47.653 INFO: Enqueued TG batch with 5 reqs | Pending: 0 reqs | Input Tokens: 5/8192 toks | Batch creation: 229.91us | Completed TG batch with 5 reqs | Terminated: 0 reqs | Completed Input Tokens: 5 toks | Prompt Tput: 131.9 tok/s, Generation Tput: 131.9 tok/s | Execution: 37.92ms | KVCache usage: 1.2% of 582 blocks | All Preemptions: 0 reqs
20:03:50.667 INFO: Enqueued TG batch with 7 reqs | Pending: 0 reqs | Input Tokens: 7/8192 toks | Batch creation: 317.61us | Completed TG batch with 7 reqs | Terminated: 0 reqs | Completed Input Tokens: 7 toks | Prompt Tput: 183.6 tok/s, Generation Tput: 183.6 tok/s | Execution: 38.13ms | KVCache usage: 1.5% of 582 blocks | All Preemptions: 0 reqs
20:03:53.685 INFO: Enqueued TG batch with 7 reqs | Pending: 0 reqs | Input Tokens: 7/8192 toks | Batch creation: 268.29us | Completed TG batch with 7 reqs | Terminated: 0 reqs | Completed Input Tokens: 7 toks | Prompt Tput: 184.2 tok/s, Generation Tput: 184.2 tok/s | Execution: 38.01ms | KVCache usage: 1.4% of 582 blocks | All Preemptions: 0 reqs
20:03:56.693 INFO: Enqueued TG batch with 8 reqs | Pending: 0 reqs | Input Tokens: 8/8192 toks | Batch creation: 220.86us | Completed TG batch with 8 reqs | Terminated: 0 reqs | Completed Input Tokens: 8 toks | Prompt Tput: 208.7 tok/s, Generation Tput: 208.7 tok/s | Execution: 38.32ms | KVCache usage: 1.7% of 582 blocks | All Preemptions: 0 reqs
20:03:59.719 INFO: Enqueued TG batch with 8 reqs | Pending: 0 reqs | Input Tokens: 8/8192 toks | Batch creation: 302.30us | Completed TG batch with 8 reqs | Terminated: 0 reqs | Completed Input Tokens: 8 toks | Prompt Tput: 208.3 tok/s, Generation Tput: 208.3 tok/s | Execution: 38.41ms | KVCache usage: 1.9% of 582 blocks | All Preemptions: 0 reqs
20:04:02.745 INFO: Enqueued TG batch with 8 reqs | Pending: 0 reqs | Input Tokens: 8/8192 toks | Batch creation: 326.28us | Completed TG batch with 8 reqs | Terminated: 0 reqs | Completed Input Tokens: 8 toks | Prompt Tput: 207.9 tok/s, Generation Tput: 207.9 tok/s | Execution: 38.49ms | KVCache usage: 2.2% of 582 blocks | All Preemptions: 0 reqs
20:04:05.767 INFO: Enqueued TG batch with 8 reqs | Pending: 0 reqs | Input Tokens: 8/8192 toks | Batch creation: 273.64us | Completed TG batch with 8 reqs | Terminated: 0 reqs | Completed Input Tokens: 8 toks | Prompt Tput: 209.1 tok/s, Generation Tput: 209.1 tok/s | Execution: 38.26ms | KVCache usage: 1.9% of 582 blocks | All Preemptions: 0 reqs
20:04:08.797 INFO: Enqueued TG batch with 9 reqs | Pending: 0 reqs | Input Tokens: 9/8192 toks | Batch creation: 306.76us | Completed TG batch with 9 reqs | Terminated: 0 reqs | Completed Input Tokens: 9 toks | Prompt Tput: 233.7 tok/s, Generation Tput: 233.7 tok/s | Execution: 38.51ms | KVCache usage: 2.2% of 582 blocks | All Preemptions: 0 reqs
20:04:11.799 INFO: Enqueued TG batch with 9 reqs | Pending: 0 reqs | Input Tokens: 9/8192 toks | Batch creation: 241.38us | Completed TG batch with 9 reqs | Terminated: 1 reqs | Completed Input Tokens: 9 toks | Prompt Tput: 233.4 tok/s, Generation Tput: 233.4 tok/s | Execution: 38.57ms | KVCache usage: 1.7% of 582 blocks | All Preemptions: 0 reqs
20:04:14.829 INFO: Enqueued TG batch with 9 reqs | Pending: 0 reqs | Input Tokens: 9/8192 toks | Batch creation: 307.70us | Completed TG batch with 9 reqs | Terminated: 0 reqs | Completed Input Tokens: 9 toks | Prompt Tput: 234.9 tok/s, Generation Tput: 234.9 tok/s | Execution: 38.32ms | KVCache usage: 1.9% of 582 blocks | All Preemptions: 0 reqs
20:04:17.864 INFO: Enqueued TG batch with 9 reqs | Pending: 0 reqs | Input Tokens: 9/8192 toks | Batch creation: 309.86us | Completed TG batch with 9 reqs | Terminated: 0 reqs | Completed Input Tokens: 9 toks | Prompt Tput: 233.2 tok/s, Generation Tput: 233.2 tok/s | Execution: 38.59ms | KVCache usage: 2.4% of 582 blocks | All Preemptions: 0 reqs
20:04:20.896 INFO: Enqueued CE batch with 1 reqs | Pending: 0 reqs | Input Tokens: 23/8192 toks | Batch creation: 649.75us | Completed TG batch with 9 reqs | Terminated: 0 reqs | Completed Input Tokens: 9 toks | Prompt Tput: 234.3 tok/s, Generation Tput: 234.3 tok/s | Execution: 38.41ms | KVCache usage: 2.1% of 582 blocks, Cache hit rate: 0.0% (0 hit, 23 miss) | All Preemptions: 0 reqs
20:04:23.896 INFO: Enqueued TG batch with 10 reqs | Pending: 0 reqs | Input Tokens: 10/8192 toks | Batch creation: 318.57us | Completed TG batch with 10 reqs | Terminated: 0 reqs | Completed Input Tokens: 10 toks | Prompt Tput: 259.3 tok/s, Generation Tput: 259.3 tok/s | Execution: 38.57ms | KVCache usage: 2.6% of 582 blocks | All Preemptions: 0 reqs
20:04:26.897 INFO: Enqueued TG batch with 10 reqs | Pending: 0 reqs | Input Tokens: 10/8192 toks | Batch creation: 257.01us | Completed TG batch with 10 reqs | Terminated: 0 reqs | Completed Input Tokens: 10 toks | Prompt Tput: 259.8 tok/s, Generation Tput: 259.8 tok/s | Execution: 38.49ms | KVCache usage: 2.2% of 582 blocks | All Preemptions: 0 reqs
20:04:29.898 INFO: Enqueued TG batch with 10 reqs | Pending: 0 reqs | Input Tokens: 10/8192 toks | Batch creation: 354.92us | Completed TG batch with 10 reqs | Terminated: 0 reqs | Completed Input Tokens: 10 toks | Prompt Tput: 260.6 tok/s, Generation Tput: 260.6 tok/s | Execution: 38.37ms | KVCache usage: 2.1% of 582 blocks | All Preemptions: 0 reqs
20:04:32.905 INFO: Enqueued TG batch with 10 reqs | Pending: 0 reqs | Input Tokens: 10/8192 toks | Batch creation: 313.25us | Completed CE batch with 2 reqs | Terminated: 0 reqs | Completed Input Tokens: 46 toks | Prompt Tput: 1.2K tok/s, Generation Tput: 51.0 tok/s | Execution: 39.20ms | KVCache usage: 2.2% of 582 blocks | All Preemptions: 0 reqs
20:04:35.906 INFO: Enqueued TG batch with 9 reqs | Pending: 0 reqs | Input Tokens: 9/8192 toks | Batch creation: 298.01us | Completed TG batch with 9 reqs | Terminated: 0 reqs | Completed Input Tokens: 9 toks | Prompt Tput: 234.6 tok/s, Generation Tput: 234.6 tok/s | Execution: 38.36ms | KVCache usage: 2.1% of 582 blocks | All Preemptions: 0 reqs
20:04:38.920 INFO: Enqueued TG batch with 10 reqs | Pending: 0 reqs | Input Tokens: 10/8192 toks | Batch creation: 351.05us | Completed TG batch with 10 reqs | Terminated: 0 reqs | Completed Input Tokens: 10 toks | Prompt Tput: 259.0 tok/s, Generation Tput: 259.0 tok/s | Execution: 38.62ms | KVCache usage: 2.6% of 582 blocks | All Preemptions: 0 reqs
20:04:41.930 INFO: Enqueued TG batch with 10 reqs | Pending: 0 reqs | Input Tokens: 10/8192 toks | Batch creation: 348.80us | Completed TG batch with 10 reqs | Terminated: 0 reqs | Completed Input Tokens: 10 toks | Prompt Tput: 259.5 tok/s, Generation Tput: 259.5 tok/s | Execution: 38.54ms | KVCache usage: 2.1% of 582 blocks | All Preemptions: 0 reqs
20:04:44.932 INFO: Enqueued TG batch with 11 reqs | Pending: 0 reqs | Input Tokens: 11/8192 toks | Batch creation: 333.69us | Completed TG batch with 11 reqs | Terminated: 0 reqs | Completed Input Tokens: 11 toks | Prompt Tput: 284.8 tok/s, Generation Tput: 284.8 tok/s | Execution: 38.63ms | KVCache usage: 2.2% of 582 blocks | All Preemptions: 0 reqs
20:04:47.945 INFO: Enqueued TG batch with 11 reqs | Pending: 0 reqs | Input Tokens: 11/8192 toks | Batch creation: 319.65us | Completed TG batch with 11 reqs | Terminated: 0 reqs | Completed Input Tokens: 11 toks | Prompt Tput: 285.0 tok/s, Generation Tput: 285.0 tok/s | Execution: 38.60ms | KVCache usage: 2.4% of 582 blocks | All Preemptions: 0 reqs
20:04:50.968 INFO: Enqueued TG batch with 12 reqs | Pending: 0 reqs | Input Tokens: 12/8192 toks | Batch creation: 367.04us | Completed TG batch with 12 reqs | Terminated: 1 reqs | Completed Input Tokens: 12 toks | Prompt Tput: 309.4 tok/s, Generation Tput: 309.4 tok/s | Execution: 38.78ms | KVCache usage: 2.6% of 582 blocks | All Preemptions: 0 reqs
20:04:53.981 INFO: Enqueued TG batch with 9 reqs | Pending: 0 reqs | Input Tokens: 9/8192 toks | Batch creation: 280.87us | Completed TG batch with 9 reqs | Terminated: 0 reqs | Completed Input Tokens: 9 toks | Prompt Tput: 234.8 tok/s, Generation Tput: 234.8 tok/s | Execution: 38.32ms | KVCache usage: 1.7% of 582 blocks | All Preemptions: 0 reqs
20:04:56.990 INFO: Enqueued CE batch with 1 reqs | Pending: 0 reqs | Input Tokens: 18/8192 toks | Batch creation: 564.16us | Completed TG batch with 11 reqs | Terminated: 0 reqs | Completed Input Tokens: 11 toks | Prompt Tput: 285.3 tok/s, Generation Tput: 285.3 tok/s | Execution: 38.55ms | KVCache usage: 2.6% of 582 blocks, Cache hit rate: 0.0% (0 hit, 18 miss) | All Preemptions: 0 reqs
20:05:00.010 INFO: Enqueued TG batch with 13 reqs | Pending: 0 reqs | Input Tokens: 13/8192 toks | Batch creation: 390.19us | Completed TG batch with 13 reqs | Terminated: 0 reqs | Completed Input Tokens: 13 toks | Prompt Tput: 334.7 tok/s, Generation Tput: 334.7 tok/s | Execution: 38.84ms | KVCache usage: 2.7% of 582 blocks | All Preemptions: 0 reqs
20:05:03.033 INFO: Enqueued TG batch with 10 reqs | Pending: 0 reqs | Input Tokens: 10/8192 toks | Batch creation: 335.74us | Completed TG batch with 10 reqs | Terminated: 0 reqs | Completed Input Tokens: 10 toks | Prompt Tput: 260.0 tok/s, Generation Tput: 260.0 tok/s | Execution: 38.47ms | KVCache usage: 2.1% of 582 blocks | All Preemptions: 0 reqs
20:05:06.056 INFO: Enqueued TG batch with 13 reqs | Pending: 0 reqs | Input Tokens: 13/8192 toks | Batch creation: 368.52us | Completed TG batch with 13 reqs | Terminated: 0 reqs | Completed Input Tokens: 13 toks | Prompt Tput: 334.2 tok/s, Generation Tput: 334.2 tok/s | Execution: 38.90ms | KVCache usage: 2.7% of 582 blocks | All Preemptions: 0 reqs
20:05:09.082 INFO: Enqueued TG batch with 12 reqs | Pending: 0 reqs | Input Tokens: 12/8192 toks | Batch creation: 352.52us | Completed TG batch with 12 reqs | Terminated: 0 reqs | Completed Input Tokens: 12 toks | Prompt Tput: 309.3 tok/s, Generation Tput: 309.3 tok/s | Execution: 38.80ms | KVCache usage: 2.9% of 582 blocks | All Preemptions: 0 reqs
20:05:12.104 INFO: Enqueued TG batch with 14 reqs | Pending: 0 reqs | Input Tokens: 14/8192 toks | Batch creation: 391.54us | Completed TG batch with 14 reqs | Terminated: 0 reqs | Completed Input Tokens: 14 toks | Prompt Tput: 358.4 tok/s, Generation Tput: 358.4 tok/s | Execution: 39.06ms | KVCache usage: 3.1% of 582 blocks | All Preemptions: 0 reqs
20:05:15.132 INFO: Enqueued TG batch with 14 reqs | Pending: 0 reqs | Input Tokens: 14/8192 toks | Batch creation: 381.11us | Completed TG batch with 14 reqs | Terminated: 0 reqs | Completed Input Tokens: 14 toks | Prompt Tput: 359.2 tok/s, Generation Tput: 359.2 tok/s | Execution: 38.98ms | KVCache usage: 2.9% of 582 blocks | All Preemptions: 0 reqs
20:05:18.160 INFO: Enqueued TG batch with 13 reqs | Pending: 0 reqs | Input Tokens: 13/8192 toks | Batch creation: 279.99us | Completed TG batch with 13 reqs | Terminated: 0 reqs | Completed Input Tokens: 13 toks | Prompt Tput: 334.0 tok/s, Generation Tput: 334.0 tok/s | Execution: 38.93ms | KVCache usage: 2.9% of 582 blocks | All Preemptions: 0 reqs
20:05:21.198 INFO: Enqueued CE batch with 1 reqs | Pending: 0 reqs | Input Tokens: 23/8192 toks | Batch creation: 639.95us | Completed TG batch with 13 reqs | Terminated: 0 reqs | Completed Input Tokens: 13 toks | Prompt Tput: 333.2 tok/s, Generation Tput: 333.2 tok/s | Execution: 39.02ms | KVCache usage: 3.3% of 582 blocks, Cache hit rate: 0.0% (0 hit, 23 miss) | All Preemptions: 0 reqs
20:05:24.226 INFO: Enqueued TG batch with 14 reqs | Pending: 0 reqs | Input Tokens: 14/8192 toks | Batch creation: 385.45us | Completed TG batch with 15 reqs | Terminated: 0 reqs | Completed Input Tokens: 15 toks | Prompt Tput: 384.0 tok/s, Generation Tput: 384.0 tok/s | Execution: 39.07ms | KVCache usage: 2.7% of 582 blocks | All Preemptions: 0 reqs
20:05:27.226 INFO: Enqueued TG batch with 15 reqs | Pending: 0 reqs | Input Tokens: 15/8192 toks | Batch creation: 507.64us | Completed TG batch with 15 reqs | Terminated: 0 reqs | Completed Input Tokens: 15 toks | Prompt Tput: 383.8 tok/s, Generation Tput: 383.8 tok/s | Execution: 39.08ms | KVCache usage: 3.1% of 582 blocks | All Preemptions: 0 reqs
20:05:30.232 INFO: Enqueued TG batch with 15 reqs | Pending: 0 reqs | Input Tokens: 15/8192 toks | Batch creation: 378.55us | Completed CE batch with 1 reqs | Terminated: 0 reqs | Completed Input Tokens: 21 toks | Prompt Tput: 556.3 tok/s, Generation Tput: 26.5 tok/s | Execution: 37.75ms | KVCache usage: 3.4% of 582 blocks | All Preemptions: 0 reqs
20:05:33.248 INFO: Enqueued TG batch with 14 reqs | Pending: 0 reqs | Input Tokens: 14/8192 toks | Batch creation: 424.42us | Completed TG batch with 14 reqs | Terminated: 0 reqs | Completed Input Tokens: 14 toks | Prompt Tput: 359.0 tok/s, Generation Tput: 359.0 tok/s | Execution: 39.00ms | KVCache usage: 3.1% of 582 blocks | All Preemptions: 0 reqs
20:05:36.317 INFO: Enqueued TG batch with 16 reqs | Pending: 0 reqs | Input Tokens: 16/8192 toks | Batch creation: 413.76us | Completed CE batch with 1 reqs | Terminated: 0 reqs | Completed Input Tokens: 18 toks | Prompt Tput: 419.3 tok/s, Generation Tput: 23.3 tok/s | Execution: 42.93ms | KVCache usage: 3.4% of 582 blocks | All Preemptions: 0 reqs
20:05:39.339 INFO: Enqueued TG batch with 12 reqs | Pending: 0 reqs | Input Tokens: 12/8192 toks | Batch creation: 352.19us | Completed TG batch with 12 reqs | Terminated: 0 reqs | Completed Input Tokens: 12 toks | Prompt Tput: 309.9 tok/s, Generation Tput: 309.9 tok/s | Execution: 38.73ms | KVCache usage: 2.6% of 582 blocks | All Preemptions: 0 reqs
20:05:42.345 INFO: Enqueued TG batch with 17 reqs | Pending: 0 reqs | Input Tokens: 17/8192 toks | Batch creation: 408.31us | Completed TG batch with 17 reqs | Terminated: 0 reqs | Completed Input Tokens: 17 toks | Prompt Tput: 431.8 tok/s, Generation Tput: 431.8 tok/s | Execution: 39.37ms | KVCache usage: 3.6% of 582 blocks | All Preemptions: 0 reqs
20:05:45.362 INFO: Enqueued TG batch with 17 reqs | Pending: 0 reqs | Input Tokens: 17/8192 toks | Batch creation: 431.90us | Completed TG batch with 17 reqs | Terminated: 0 reqs | Completed Input Tokens: 17 toks | Prompt Tput: 432.4 tok/s, Generation Tput: 432.4 tok/s | Execution: 39.31ms | KVCache usage: 3.6% of 582 blocks | All Preemptions: 0 reqs
20:05:48.381 INFO: Enqueued TG batch with 14 reqs | Pending: 0 reqs | Input Tokens: 14/8192 toks | Batch creation: 379.83us | Completed TG batch with 14 reqs | Terminated: 0 reqs | Completed Input Tokens: 14 toks | Prompt Tput: 358.9 tok/s, Generation Tput: 358.9 tok/s | Execution: 39.00ms | KVCache usage: 2.9% of 582 blocks | All Preemptions: 0 reqs
20:05:51.410 INFO: Enqueued TG batch with 18 reqs | Pending: 0 reqs | Input Tokens: 18/8192 toks | Batch creation: 379.38us | Completed TG batch with 18 reqs | Terminated: 0 reqs | Completed Input Tokens: 18 toks | Prompt Tput: 456.0 tok/s, Generation Tput: 456.0 tok/s | Execution: 39.47ms | KVCache usage: 4.0% of 582 blocks | All Preemptions: 0 reqs
20:05:54.434 INFO: Enqueued TG batch with 18 reqs | Pending: 0 reqs | Input Tokens: 18/8192 toks | Batch creation: 402.47us | Completed TG batch with 18 reqs | Terminated: 0 reqs | Completed Input Tokens: 18 toks | Prompt Tput: 457.3 tok/s, Generation Tput: 457.3 tok/s | Execution: 39.36ms | KVCache usage: 3.6% of 582 blocks | All Preemptions: 0 reqs
20:05:57.459 INFO: Enqueued TG batch with 17 reqs | Pending: 0 reqs | Input Tokens: 17/8192 toks | Batch creation: 326.18us | Completed TG batch with 17 reqs | Terminated: 0 reqs | Completed Input Tokens: 17 toks | Prompt Tput: 430.7 tok/s, Generation Tput: 430.7 tok/s | Execution: 39.47ms | KVCache usage: 3.6% of 582 blocks | All Preemptions: 0 reqs
